,Accuracy,Precision,Recall,F1 Score,AUC,Sharpe,Max DD,Ann. Return
Logistic Regression,0.5087014725568942,0.5949367088607594,0.2367758186397985,0.3387387387387387,0.5387477509895646,1.6462709641009705,-0.13158261177010333,0.2226041352131951
Random Forest,0.5073627844712182,0.5674418604651162,0.30730478589420657,0.39869281045751637,0.5402734796689457,-2.8381611530972415,-0.6899624427811444,-0.30577957351528495
XGBoost,0.5087014725568942,0.6190476190476191,0.1964735516372796,0.2982791586998088,0.5383879093198992,-2.960821079985722,-0.6971152343229337,-0.3160746661200702
SVM (RBF),0.500669344042838,0.5454545454545454,0.36272040302267,0.4357034795763994,0.5379848866498741,-0.8278568312432256,-0.3912108021924239,-0.10751003046152074
Neural Network,0.5113788487282463,0.5307692307692308,0.6952141057934509,0.6019629225736096,0.5093270960777259,2.824902523452449,-0.11310723126606867,0.4148918017441763
