,Accuracy,Precision,Recall,F1 Score,AUC,Sharpe,Max DD,Ann. Return
Logistic Regression,0.5087014725568942,0.5949367088607594,0.2367758186397985,0.3387387387387387,0.5387477509895646,1.6462709641009705,-0.13158261177010333,0.2226041352131951
Random Forest,0.5087014725568942,0.6041666666666666,0.21914357682619648,0.32162661737523107,0.5438790931989925,-1.130026200983501,-0.43185622223519204,-0.14110716320326466
XGBoost,0.5087014725568942,0.6190476190476191,0.1964735516372796,0.2982791586998088,0.5383879093198992,-2.960821079985722,-0.6971152343229337,-0.3160746661200702
SVM (RBF),0.500669344042838,0.5454545454545454,0.36272040302267,0.4357034795763994,0.5379417056495143,-0.8278568312432256,-0.3912108021924239,-0.10751003046152074
Neural Network,0.5287817938420348,0.5593667546174143,0.5340050377833753,0.5463917525773195,0.5423101835192514,-0.46815485812515784,-0.29737863571267875,-0.06566263461674371
