,Accuracy,Precision,Recall,F1 Score,AUC,Sharpe,Max DD,Ann. Return
Logistic Regression,0.5087014725568942,0.5949367088607594,0.2367758186397985,0.3387387387387387,0.5387477509895646,1.6462709641009705,-0.13158261177010333,0.2226041352131951
Random Forest,0.5020080321285141,0.5816993464052288,0.22418136020151133,0.3236363636363636,0.5221734436847787,-1.2215151045936283,-0.5076429725358905,-0.15098590157920522
XGBoost,0.5087014725568942,0.6190476190476191,0.1964735516372796,0.2982791586998088,0.5383879093198992,-2.960821079985722,-0.6971152343229337,-0.3160746661200702
SVM (RBF),0.500669344042838,0.5454545454545454,0.36272040302267,0.4357034795763994,0.5363799928031666,-0.8278568312432256,-0.3912108021924239,-0.10751003046152074
Neural Network,0.536813922356091,0.5424292845257903,0.8211586901763224,0.6533066132264529,0.5295070169125584,2.4765684337270075,-0.07697149749764982,0.3557553833902032
