Feature,Importance
volatility_20,0.04377785858450323
bb_width_20,0.041701530800291126
obv,0.04067545895850108
macd_signal,0.036020664200213
sma_50,0.03253180668674614
parkinson_vol_20,0.03197180508829406
volatility_50,0.030744875507670598
bb_upper_20,0.03033133810066922
bb_lower_20,0.02997593544011937
volatility_5,0.029596175266023265
macd,0.028288367249094767
atr_14,0.028193856692496622
macd_diff,0.027816791883477902
sma_10,0.02779173657753697
sma_20,0.027343366395148415
rsi_28,0.027263274364266853
ema_20,0.026126704997204896
rsi_14,0.025621237265823712
ema_5,0.025224016221911044
price_sma_50,0.022689112091604118
momentum_10,0.022492523063505566
return_20d,0.02247448190546881
sma_5,0.022352910694247607
volume_change_5d,0.022262349438925036
stoch_d,0.02094113010240529
price_sma_5,0.020865162151175842
price_sma_20,0.019718753207853504
stoch_k,0.01961000024998558
volume_sma_20,0.01919447354588526
roc_10,0.01870063767196728
momentum_5,0.018585704937475436
roc_20,0.01832627435160972
return_5d,0.0182836266652047
roc_5,0.01700642741016932
hl_spread,0.016691722178683026
volume_sma_5,0.01628527080339122
close_position,0.015719573173393616
log_return_1d,0.01443773690372153
volume_change_1d,0.014314974134214389
bb_position_20,0.01408522293356727
return_1d,0.013965132105553613
