Model,Training_Time,Test_Accuracy,Num_Params
Logistic Regression,0.1557676792144775,0.5153949129852744,
Random Forest,0.6776907444000244,0.5153949129852744,
XGBoost,1.9835076332092283,0.5020080321285141,
SVM (RBF),5.735343456268311,0.5287817938420348,
Neural Network,1.1626675128936768,0.4979919678714859,
"Quantum-KERNEL (4q,2r)",2161.508116722107,0.47,0.0
