,Accuracy,Precision,Recall,F1 Score,AUC,Sharpe,Max DD,Ann. Return
Logistic Regression,0.5153949129852744,0.6484375,0.2075,0.3143939393939394,0.5403962536023055,1.160725185181302,-0.13760450292560425,0.14993049438303108
Random Forest,0.5153949129852744,0.7261904761904762,0.1525,0.25206611570247933,0.5868587896253603,-1.3305659513828973,-0.43742751505286986,-0.16265170906073068
XGBoost,0.5020080321285141,0.6891891891891891,0.1275,0.21518987341772153,0.5141210374639769,-1.231625768177882,-0.4368374942198403,-0.15208918226352397
SVM (RBF),0.5287817938420348,0.6304347826086957,0.29,0.3972602739726027,0.5780367435158501,-2.4087164932357057,-0.6185688523364835,-0.2682630642214622
Neural Network,0.4979919678714859,0.5850340136054422,0.215,0.31444241316270566,0.559985590778098,0.9093200641767313,-0.11612107178041885,0.11382452839054769
