,Accuracy,Precision,Recall,F1 Score,AUC,Sharpe,Max DD,Ann. Return
Logistic Regression,0.5087014725568942,0.5949367088607594,0.2367758186397985,0.3387387387387387,0.5387477509895646,1.6462709641009705,-0.13158261177010333,0.2226041352131951
Random Forest,0.500669344042838,0.5606060606060606,0.2795969773299748,0.373109243697479,0.5503562432529687,-2.4359198177616244,-0.6458506145090962,-0.27069737473408206
XGBoost,0.5087014725568942,0.6190476190476191,0.1964735516372796,0.2982791586998088,0.5383879093198992,-2.960821079985722,-0.6971152343229337,-0.3160746661200702
SVM (RBF),0.500669344042838,0.5454545454545454,0.36272040302267,0.4357034795763994,0.5344008636200072,-0.8278568312432256,-0.3912108021924239,-0.10751003046152074
Neural Network,0.5234270414993306,0.5836734693877551,0.3602015113350126,0.4454828660436137,0.5423461676862181,0.14517053915016429,-0.20019585581206453,0.010421503641672825
