,Accuracy,Precision,Recall,F1 Score,AUC,Sharpe,Max DD,Ann. Return
Logistic Regression,0.5087014725568942,0.5949367088607594,0.2367758186397985,0.3387387387387387,0.5387477509895646,1.6462709641009705,-0.13158261177010333,0.2226041352131951
Random Forest,0.49531459170013387,0.5714285714285714,0.20151133501259447,0.297951582867784,0.5220582943504859,-0.8045813269708012,-0.3328241757179951,-0.10485833515372445
XGBoost,0.5087014725568942,0.6190476190476191,0.1964735516372796,0.2982791586998088,0.5383879093198992,-2.960821079985722,-0.6971152343229337,-0.3160746661200702
SVM (RBF),0.500669344042838,0.5454545454545454,0.36272040302267,0.4357034795763994,0.5344872256207269,-0.8278568312432256,-0.3912108021924239,-0.10751003046152074
Neural Network,0.5287817938420348,0.6216216216216216,0.28967254408060455,0.3951890034364261,0.5532997481108313,-1.2508542431022966,-0.43564080281587264,-0.15417365599947996
