,Accuracy,Precision,Recall,F1 Score,AUC,Sharpe,Max DD,Ann. Return
Logistic Regression,0.5087014725568942,0.5949367088607594,0.2367758186397985,0.3387387387387387,0.5387477509895646,1.6462709641009705,-0.13158261177010333,0.2226041352131951
Random Forest,0.49129852744310576,0.544973544973545,0.2594458438287154,0.3515358361774744,0.5079525008996042,-2.365575852686897,-0.6246358500441708,-0.2643335080162321
XGBoost,0.5087014725568942,0.6190476190476191,0.1964735516372796,0.2982791586998088,0.5383879093198992,-2.960821079985722,-0.6971152343229337,-0.3160746661200702
SVM (RBF),0.500669344042838,0.5454545454545454,0.36272040302267,0.4357034795763994,0.5344080604534005,-0.8278568312432256,-0.3912108021924239,-0.10751003046152074
Neural Network,0.5087014725568942,0.65625,0.15869017632241814,0.25557809330628806,0.5251529327096078,-1.771799395169085,-0.5170195236823251,-0.20788271521982848
