,Accuracy,Precision,Recall,F1 Score,AUC,Sharpe,Max DD,Ann. Return
Logistic Regression,0.5087014725568942,0.5949367088607594,0.2367758186397985,0.3387387387387387,0.5387477509895646,1.6462709641009705,-0.13158261177010333,0.2226041352131951
Random Forest,0.5046854082998661,0.5699481865284974,0.2770780856423174,0.3728813559322034,0.5274055415617128,-1.6523072851686251,-0.5361070187078835,-0.1959085756598169
XGBoost,0.5087014725568942,0.6190476190476191,0.1964735516372796,0.2982791586998088,0.5383879093198992,-2.960821079985722,-0.6971152343229337,-0.3160746661200702
SVM (RBF),0.500669344042838,0.5454545454545454,0.36272040302267,0.4357034795763994,0.536200071968334,-0.8278568312432256,-0.3912108021924239,-0.10751003046152074
Neural Network,0.5113788487282463,0.5533333333333333,0.4181360201511335,0.4763271162123386,0.5179560993163008,0.982763804390978,-0.22781487989883395,0.12423309575594144
