Date,Open,High,Low,Close,Volume,return_1d,return_5d,return_20d,log_return_1d,price_sma_5,price_sma_20,price_sma_50,hl_spread,close_position,sma_5,sma_10,sma_20,sma_50,ema_5,ema_20,macd,macd_signal,macd_diff,rsi_14,rsi_28,bb_upper_20,bb_lower_20,bb_width_20,bb_position_20,stoch_k,stoch_d,atr_14,volume_change_1d,volume_change_5d,volume_sma_5,volume_sma_20,obv,volatility_5,volatility_20,volatility_50,parkinson_vol_20,roc_5,roc_10,roc_20,momentum_5,momentum_10,label
2010-03-15,5625.7001953125,5627.0,5588.2001953125,5593.89990234375,818311200,-0.005652681775549784,-0.0022830350335928395,0.08251570437227862,-0.005668718643940812,0.9960718988833269,1.025617962801844,1.0412765165557003,0.006936092058287195,0.14690040522513906,5615.9599609375,5583.080029296875,5454.175048828125,5372.156015625,5603.069638520465,5482.800829843462,89.08961566715243,69.28016556709443,19.809450100058,75.85304142774865,65.3481907140051,5735.564233105796,5172.785864550454,0.10318304115968185,0.7482768729620864,86.35651344476744,91.22291290373069,63.135567801339285,-0.3670634963605296,-0.022737784777632553,0.8195180550686163,0.7107379513380984,6108218600,0.07837171412602177,0.1230735084530975,0.139582381169249,0.001537841324247896,-0.22830350335927946,3.4776818549394863,8.251570437227866,-12.80029296875,188.0,1
2010-03-16,5593.89990234375,5637.7001953125,5593.89990234375,5620.39990234375,878179400,0.00473730321647281,0.003230833458985005,0.07175679290631387,0.004726117508406619,1.0001459044764642,1.0269340638716933,1.045828184524057,0.007793091902674922,0.6050187842101156,5619.57998046875,5596.710009765625,5472.9900390625,5374.114013671875,5608.846393128227,5495.905503414919,88.61572625012195,73.14727770369994,15.46844854642201,75.79469182714216,73.52564344393227,5745.415223983418,5200.564854141581,0.09955259665248134,0.7705510933653974,93.20405866440568,91.3780718400086,61.99989536830357,0.07316067530298986,-0.11628714357822945,0.9003130932215189,0.7700969310562267,6986398000,0.08628553693295204,0.11642947948675646,0.1396860609925093,0.0014526543981388546,0.32308334589850884,2.4853631819329975,7.17567929063139,18.10009765625,136.2998046875,1
2010-03-17,5620.39990234375,5657.7998046875,5620.39990234375,5644.60009765625,930653500,0.00430577818891642,0.000709144404983153,0.06974187794967768,0.004296534849690605,1.004309338029042,1.0279000503522613,1.0498835246541687,0.00662578423567671,0.6470657353613161,5620.37998046875,5607.85,5491.3900390625,5376.406015625,5620.764294637568,5510.066893342665,89.16507945258945,76.35083805347784,12.814241399111609,86.8313767143526,80.14040770880881,5757.604570547792,5225.175507577209,0.09695706536654608,0.7877567534329256,96.5227290267809,92.027767045318,56.764195033482146,0.0597532804800478,-0.06738231389128646,0.967447984832086,0.8260500033307269,7917051500,0.07621322428908421,0.11603878515328661,0.13995051722163251,0.0014111077926122872,0.07091444049830899,2.013299689357407,6.9741877949677775,4.0,111.39990234375,1
2010-03-18,5644.60009765625,5661.0,5619.2001953125,5642.60009765625,919829700,-0.00035432093778098306,0.004503995486877521,0.05962329236585462,-0.00035438372427594255,1.0030504384500756,1.0245739142085648,1.0490592347392511,0.007407897771253055,0.5598088919001004,5625.4400390625,5619.389990234375,5507.2650390625,5378.724013671875,5628.042895643795,5522.689103277292,88.41981396218398,78.76463323521908,9.6551807269649,84.04617126344326,79.30552803594209,5769.564652555489,5244.965425569511,0.09525585263557251,0.7579779985024016,93.99676921900489,94.57451897006382,53.349923270089285,-0.011630322133855397,0.033733833258654755,0.950265919167565,0.8181222366168722,6997221800,0.06699831831999511,0.11465715305216395,0.13994260102025563,0.0013660921550702335,0.4503995486877435,2.0878545785553086,5.96232923658547,25.30029296875,115.39990234375,1
2010-03-19,5642.60009765625,5691.2001953125,5633.5,5650.10009765625,2488301900,0.001329174471023542,0.004337220523070284,0.05447722961137447,0.0013282919006098104,1.0035131356754827,1.0232240699117274,1.0500011123034443,0.010212243024939496,0.2876956926461877,5630.32001953125,5624.42001953125,5521.860034179687,5381.04201171875,5635.395296314614,5534.823483694336,87.42657388893713,80.4970213659627,6.929552522974433,82.19921041042691,79.0376100658749,5781.708740385541,5262.011327973833,0.09411636825179193,0.7467590956080613,85.70431385869566,92.07460403482715,52.735665457589285,1.705176729996868,0.9246187814433571,2.0614649799676923,2.11719612213487,9485523700,0.06691565165481864,0.11409912223985011,0.13994165228957625,0.0012949266648525596,0.43372205230703054,0.8982516290429607,5.447722961137435,24.39990234375,50.30029296875,1
2010-03-22,5650.10009765625,5650.10009765625,5583.5,5644.5,886165700,-0.0009911501671577838,0.009045585108709009,0.054632741729138345,-0.0009916416812877596,1.0007197950708426,1.0195105861723561,1.0485457434486178,0.011799113766719816,0.9159145729011635,5640.4400390625,5628.2,5536.480029296875,5383.170009765625,5638.430197543076,5545.268866199637,85.20534867505103,81.43868682778037,3.7666618472706546,76.15766951575118,78.08829401079215,5788.90976025018,5284.05029834357,0.09118780510994207,0.7139604758424969,79.32708518861155,86.34272275543736,51.68568638392857,-0.643867289576076,0.08292016533563262,0.7259927864557109,0.7564220138986018,8599358000,0.04158695860625197,0.11403531383184767,0.13997537950048,0.0013370399547771709,0.9045585108709114,0.6741898687413793,5.463274172913834,50.60009765625,37.7998046875,1
2010-03-23,5644.5,5695.89990234375,5644.5,5673.60009765625,969327600,0.005155478369430311,0.009465553383543934,0.06744934120019375,0.005142234390682869,1.0039850823594632,1.0214595564656659,1.053267082624658,0.009059486297771176,0.5661508354945044,5651.080078125,5635.330029296875,5554.405029296875,5386.6680078125,5650.153497580801,5557.490888243124,84.8154466974338,82.11403880171106,2.7014078957227383,74.49387608376026,78.07868492563887,5791.066181509849,5317.743877083901,0.08521566251099728,0.751826434640422,88.55245018172704,84.5279497430114,49.892822265625,0.09384463876225402,0.10379223197446907,0.7824378704063414,0.8307637356183105,9568685600,0.04349217101202958,0.10847817535094786,0.13929586118159354,0.0012305412688875495,0.9465553383543955,1.2726968469108406,6.744934120019384,53.2001953125,71.30029296875,0
2010-03-24,5673.60009765625,5698.89990234375,5636.0,5677.89990234375,1118840000,0.0007578617832575407,0.005899409012398715,0.06270003296394289,0.0007575747510276295,1.0035632360522153,1.019160276905873,1.0532659790523387,0.011078022407155485,0.6661362066154838,5657.7400390625,5639.060009765625,5571.155029296875,5390.756005859375,5659.402299168451,5568.958413395564,83.88641450545583,82.46851394246002,1.4179005629958112,76.44765278613283,79.83721085906755,5791.654793962497,5350.655264631253,0.07915764810208517,0.7420521246558898,87.76934430285434,85.21629322439765,51.307094029017854,0.15424341574510003,0.20220898540649124,0.8764952236556757,0.9521460082935522,10687525600,0.038040925287518415,0.10856808389601602,0.13878170358403435,0.001229410601301717,0.5899409012398724,0.6612736950275664,6.2700032963942816,33.2998046875,37.2998046875,1
2010-03-25,5677.89990234375,5737.10009765625,5673.10009765625,5727.7001953125,1098678300,0.00877090012597681,0.015081716971507175,0.0851616049726942,0.008732659223549787,1.009329052888955,1.0239683649639726,1.0616001622680338,0.011173769194899034,0.8531265258789062,5674.76005859375,5650.100048828125,5593.630029296875,5395.346005859375,5682.1682645498,5584.076678340034,86.17524268867237,83.20985969170249,2.965382996969879,74.39892247562344,80.37955578151313,5776.891152334969,5410.368906258782,0.06552493535620181,0.8657899826024644,94.59775727370689,90.30651725276276,50.29282924107143,-0.018020181616674402,0.19443664408748695,0.8372396014913782,0.9701983864408817,11786203900,0.062097861595747775,0.09408828314002561,0.13969447796061438,0.0010826057479706086,1.508171697150712,1.9653640443558587,8.51616049726941,85.10009765625,110.400390625,1
2010-03-26,5727.7001953125,5727.7001953125,5695.5,5703.0,1031531100,-0.004312410648293796,0.00936264870169179,0.06508544215146128,-0.004321735910323116,1.0031062277394427,1.0163863961809418,1.0560528311122066,0.005646185395844293,0.23291784187062142,5685.3400390625,5657.830029296875,5611.055029296875,5400.2980078125,5689.112176366534,5595.402708974317,85.01604414417034,83.57109658219608,1.44494756197426,67.20239341288116,76.37046435712406,5762.0050338202955,5460.105024773454,0.053804499772420335,0.804554382073104,80.40224272629311,87.58978143428477,49.592843191964285,-0.06111634315522574,-0.5854477706262251,1.010405006505284,0.9386424687232421,10754672800,0.08155214399409777,0.09033984720532022,0.1388015700502944,0.000962689987991636,0.9362648701691799,1.374047709686138,6.50854421514614,52.89990234375,77.2998046875,1
