,Accuracy,Precision,Recall,F1 Score,AUC,Sharpe,Max DD,Ann. Return
Logistic Regression,0.5087014725568942,0.5949367088607594,0.2367758186397985,0.3387387387387387,0.5387477509895646,1.6462709641009705,-0.13158261177010333,0.2226041352131951
Random Forest,0.5180722891566265,0.6081871345029239,0.2619647355163728,0.36619718309859156,0.5339906441165887,-2.605002538371018,-0.671709528796345,-0.28570437597895193
XGBoost,0.5087014725568942,0.6190476190476191,0.1964735516372796,0.2982791586998088,0.5383879093198992,-2.960821079985722,-0.6971152343229337,-0.3160746661200702
SVM (RBF),0.500669344042838,0.5454545454545454,0.36272040302267,0.4357034795763994,0.5370169125584743,-0.8278568312432256,-0.3912108021924239,-0.10751003046152074
Neural Network,0.48460508701472554,0.5146341463414634,0.5314861460957179,0.5229244114002478,0.491723641597697,-1.9353542686508798,-0.5312899249805619,-0.2239418721600852
