,Accuracy,Precision,Recall,F1 Score,AUC,Sharpe,Max DD,Ann. Return
Logistic Regression,0.5087014725568942,0.5949367088607594,0.2367758186397985,0.3387387387387387,0.5387477509895646,1.6462709641009705,-0.13158261177010333,0.2226041352131951
Random Forest,0.5033467202141901,0.5928571428571429,0.20906801007556675,0.3091247672253259,0.5241453760345448,-1.4127246735186163,-0.4756066082146981,-0.17126724374534852
XGBoost,0.5087014725568942,0.6190476190476191,0.1964735516372796,0.2982791586998088,0.5383879093198992,-2.960821079985722,-0.6971152343229337,-0.3160746661200702
SVM (RBF),0.500669344042838,0.5454545454545454,0.36272040302267,0.4357034795763994,0.536480748470673,-0.8278568312432256,-0.3912108021924239,-0.10751003046152074
Neural Network,0.5261044176706827,0.6113989637305699,0.2972292191435768,0.4,0.5403382511694854,0.48733616374976785,-0.18013147928871562,0.05553741325032591
