Horizon (days),Best Acc (Classical),Best F1 (Classical)
1,0.5287817938420348,0.5463917525773195
5,0.5287817938420348,0.3972602739726027
10,0.5689424364123159,0.5047489823609227
20,0.5917001338688086,0.47322970639032813
