Qubits,Reps,Parameters,Accuracy,F1,Precision,Recall
2,2,6,0.5153949129852744,0.5649038461538461,0.5402298850574713,0.5919395465994962
3,2,9,0.5207496653279786,0.5213903743315508,0.5555555555555556,0.491183879093199
4,2,12,0.4725568942436412,0.4171597633136095,0.5053763440860215,0.35516372795969775
6,2,18,0.5087014725568942,0.5139072847682119,0.5418994413407822,0.48866498740554154
