Reps,Qubits,Parameters,Accuracy,F1,Precision,Recall
1,4,8,0.4457831325301205,0.4609375,0.477088948787062,0.44584382871536526
2,4,12,0.4725568942436412,0.4171597633136095,0.5053763440860215,0.35516372795969775
3,4,16,0.4738955823293173,0.5093632958801498,0.504950495049505,0.5138539042821159
4,4,20,0.4926372155287818,0.48010973936899864,0.5271084337349398,0.44080604534005036
