,accuracy_mean,accuracy_std,accuracy_ci95,accuracy_n,f1_mean,f1_std,f1_ci95,f1_n,precision_mean,precision_std,precision_ci95,precision_n,recall_mean,recall_std,recall_ci95,recall_n,auc_mean,auc_std,auc_ci95,auc_n,sharpe_mean,sharpe_std,sharpe_ci95,sharpe_n,max_dd_mean,max_dd_std,max_dd_ci95,max_dd_n,ann_ret_mean,ann_ret_std,ann_ret_ci95,ann_ret_n
Logistic Regression,0.5153949129852744,0.0,0.0,10.0,0.3143939393939394,0.0,0.0,10.0,0.6484375,0.0,0.0,10.0,0.20749999999999996,2.7755575615628914e-17,1.7203083996025835e-17,10.0,0.5403962536023055,0.0,0.0,10.0,1.160725185181302,0.0,0.0,10.0,-0.13760450292560428,2.7755575615628914e-17,1.7203083996025835e-17,10.0,0.14993049438303108,0.0,0.0,10.0
Random Forest,0.5157965194109773,0.007478702930904124,0.004635348100265043,10.0,0.2749646860803586,0.01933629826624033,0.011984761831386134,10.0,0.6949601391196739,0.03322114895536363,0.02059068144858781,10.0,0.17175,0.015493950432346165,0.009603249970713037,10.0,0.5918112391930836,0.00841668306770861,0.00521671421219555,10.0,-1.460420069381181,0.38622338157019914,0.23938373198932916,10.0,-0.4668748953234326,0.07022670925078928,0.04352696534693855,10.0,-0.1751634898984375,0.03920343445283029,0.024298540414523874,10.0
XGBoost,0.5020080321285141,0.0,0.0,10.0,0.2151898734177215,2.7755575615628914e-17,1.7203083996025835e-17,10.0,0.6891891891891893,1.1102230246251565e-16,6.881233598410334e-17,10.0,0.1275,0.0,0.0,10.0,0.5141210374639769,0.0,0.0,10.0,-1.231625768177882,0.0,0.0,10.0,-0.4368374942198403,0.0,0.0,10.0,-0.15208918226352397,0.0,0.0,10.0
SVM (RBF),0.5287817938420349,1.1102230246251565e-16,6.881233598410334e-17,10.0,0.39726027397260266,5.551115123125783e-17,3.440616799205167e-17,10.0,0.6304347826086956,1.1102230246251565e-16,6.881233598410334e-17,10.0,0.29,0.0,0.0,10.0,0.5780115273775216,1.5948086182425085e-05,9.88472622479608e-06,10.0,-2.4087164932357057,0.0,0.0,10.0,-0.6185688523364836,1.1102230246251565e-16,6.881233598410334e-17,10.0,-0.2682630642214622,0.0,0.0,10.0
Neural Network,0.5254350736278447,0.02519615826602237,0.01561674068771504,10.0,0.35994671058105887,0.10160329714954967,0.06297437600799222,10.0,0.6474157956384687,0.05194482384439928,0.03219573537688702,10.0,0.26575,0.12666417212455935,0.07850726724323041,10.0,0.5784257925072046,0.020072750331067802,0.012441219550214338,10.0,-0.4734069183209034,0.9549498354892612,0.5918840401444353,10.0,-0.2985572283681804,0.15473915367738764,0.09590832109016345,10.0,-0.05909218028745662,0.11382598817706364,0.070550078393548,10.0
"VQC (4q,1r)",0.5144578313253012,0.03586609961292976,0.02223003885041494,10.0,0.4915448136940624,0.06764071940082846,0.041924152232275705,10.0,0.5851637438331372,0.07296806011115971,0.04522607221348738,10.0,0.45975,0.14367258785168452,0.08904919252862432,10.0,0.5144578313253012,0.03586609961292976,0.02223003885041494,10.0,0.09329738429718261,0.25119733400680105,0.15569372065421808,10.0,-0.19772807878572546,0.048369950846479375,0.0299800061371118,10.0,0.00427773184460285,0.03244695179952926,0.020110829079977466,10.0
