seed,model,accuracy,f1,precision,recall,auc,sharpe,max_dd,ann_ret
42,Logistic Regression,0.5153949129852744,0.3143939393939394,0.6484375,0.2075,0.5403962536023055,1.160725185181302,-0.13760450292560425,0.14993049438303108
42,Random Forest,0.5153949129852744,0.25206611570247933,0.7261904761904762,0.1525,0.5868587896253603,-1.3305659513828973,-0.43742751505286986,-0.16265170906073068
42,XGBoost,0.5020080321285141,0.21518987341772153,0.6891891891891891,0.1275,0.5141210374639769,-1.231625768177882,-0.4368374942198403,-0.15208918226352397
42,SVM (RBF),0.5287817938420348,0.3972602739726027,0.6304347826086957,0.29,0.5780367435158501,-2.4087164932357057,-0.6185688523364835,-0.2682630642214622
42,Neural Network,0.4979919678714859,0.31444241316270566,0.5850340136054422,0.215,0.559985590778098,0.9093200641767313,-0.11612107178041885,0.11382452839054769
42,"VQC (4q,1r)",0.5394912985274432,0.35580524344569286,0.7089552238805971,0.2375,0.5394912985274432,-0.20202992048708515,-0.16448403938081577,-0.03340023917638313
123,Logistic Regression,0.5153949129852744,0.3143939393939394,0.6484375,0.2075,0.5403962536023055,1.160725185181302,-0.13760450292560425,0.14993049438303108
123,Random Forest,0.5060240963855421,0.2634730538922156,0.6534653465346535,0.165,0.5847694524495678,-1.4857073582105678,-0.4743093614745667,-0.1788852549448623
123,XGBoost,0.5020080321285141,0.21518987341772153,0.6891891891891891,0.1275,0.5141210374639769,-1.231625768177882,-0.4368374942198403,-0.15208918226352397
123,SVM (RBF),0.5287817938420348,0.3972602739726027,0.6304347826086957,0.29,0.578007925072046,-2.4087164932357057,-0.6185688523364835,-0.2682630642214622
123,Neural Network,0.5595716198125836,0.594327990135635,0.5863746958637469,0.6025,0.5917002881844381,0.022401838880333372,-0.21528017602511978,-0.005311248590257889
123,"VQC (4q,1r)",0.5568942436412316,0.4737678855325914,0.6506550218340611,0.3725,0.5568942436412316,0.5771327173010987,-0.14250375447486943,0.06769030642838691
