,Accuracy,Precision,Recall,F1 Score,AUC,Sharpe,Max DD,Ann. Return
Logistic Regression,0.5087014725568942,0.5949367088607594,0.2367758186397985,0.3387387387387387,0.5387477509895646,1.6462709641009705,-0.13158261177010333,0.2226041352131951
Random Forest,0.500669344042838,0.5882352941176471,0.20151133501259447,0.300187617260788,0.5379489024829075,-2.354729808675625,-0.6284009695321477,-0.2633515828860046
XGBoost,0.5087014725568942,0.6190476190476191,0.1964735516372796,0.2982791586998088,0.5383879093198992,-2.960821079985722,-0.6971152343229337,-0.3160746661200702
SVM (RBF),0.500669344042838,0.5454545454545454,0.36272040302267,0.4357034795763994,0.5343756747031306,-0.8278568312432256,-0.3912108021924239,-0.10751003046152074
Neural Network,0.5046854082998661,0.5678391959798995,0.28463476070528965,0.37919463087248323,0.5344440446203671,0.14464059647095695,-0.12856232599031472,0.010374243225030666
